obs_id,flare_number,start_mjd,end_mjd,duration_s,Mean Rate,Max Rate,Energy (1e37erg),Luminosity (1e34),Flux (1e-12),Fluence,Hardness Ratio,Shape
22937,1,59082.23769,59082.31480,6658,0.017 $\pm$ 0.002,0.037 $\pm$ 0.011,6.845 $\pm$ 0.261,1.028 $\pm$ 0.039,1.285 $\pm$ 0.049,112 $\pm$ 0.179,1.383 $\pm$ 0.265,2
23665,1,59314.35258,59314.37416,1865,0.031 $\pm$ 0.004,0.049 $\pm$ 0.013,3.989 $\pm$ 0.088,2.139 $\pm$ 0.047,2.673 $\pm$ 0.059,58 $\pm$ 0.238,1.148 $\pm$ 0.302,1
23666,1,59315.56742,59315.57510,664,0.030 $\pm$ 0.007,0.044 $\pm$ 0.013,1.380 $\pm$ 0.026,2.079 $\pm$ 0.040,2.598 $\pm$ 0.050,20 $\pm$ 0.134,1.857 $\pm$ 0.871,1
22592,1,59357.20331,59357.26016,4911,0.026 $\pm$ 0.002,0.085 $\pm$ 0.017,8.142 $\pm$ 0.335,1.658 $\pm$ 0.068,2.072 $\pm$ 0.085,127 $\pm$ 0.292,1.190 $\pm$ 0.212,2
22594,1,59385.11815,59385.19229,6406,0.050 $\pm$ 0.003,0.206 $\pm$ 0.027,24.980 $\pm$ 0.318,3.900 $\pm$ 0.050,4.873 $\pm$ 0.063,319 $\pm$ 0.893,1.185 $\pm$ 0.133,2
22595,1,59386.01508,59386.02591,936,0.093 $\pm$ 0.010,0.139 $\pm$ 0.022,6.542 $\pm$ 0.110,6.990 $\pm$ 0.117,8.735 $\pm$ 0.147,87 $\pm$ 0.870,1.231 $\pm$ 0.265,2
22595,2,59386.08527,59386.11595,2650,0.046 $\pm$ 0.004,0.089 $\pm$ 0.017,7.970 $\pm$ 0.311,3.007 $\pm$ 0.117,3.758 $\pm$ 0.147,121 $\pm$ 0.508,1.241 $\pm$ 0.227,2
22595,3,59386.13127,59386.18571,4703,0.094 $\pm$ 0.005,0.260 $\pm$ 0.029,33.110 $\pm$ 0.551,7.040 $\pm$ 0.117,8.797 $\pm$ 0.147,440 $\pm$ 1.980,1.245 $\pm$ 0.119,3
23739,1,59425.00191,59425.04771,3957,0.093 $\pm$ 0.005,0.500 $\pm$ 0.038,29.211 $\pm$ 0.187,7.382 $\pm$ 0.047,9.226 $\pm$ 0.061,369 $\pm$ 1.808,1.580 $\pm$ 0.169,2
25297,1,59658.33743,59658.41349,6572,0.015 $\pm$ 0.002,0.040 $\pm$ 0.012,5.552 $\pm$ 0.365,0.845 $\pm$ 0.056,1.056 $\pm$ 0.069,95 $\pm$ 0.142,0.939 $\pm$ 0.193,1
26759,1,60052.43554,60052.45941,2063,0.017 $\pm$ 0.003,0.030 $\pm$ 0.010,1.987 $\pm$ 0.104,0.963 $\pm$ 0.050,1.204 $\pm$ 0.063,34 $\pm$ 0.095,0.700 $\pm$ 0.244,1
26760,1,60054.41417,60054.46763,4619,0.031 $\pm$ 0.003,0.044 $\pm$ 0.013,9.824 $\pm$ 0.220,2.127 $\pm$ 0.048,2.658 $\pm$ 0.060,143 $\pm$ 0.372,1.043 $\pm$ 0.174,2
28231,1,60408.56644,60408.57686,900,0.035 $\pm$ 0.006,0.042 $\pm$ 0.012,2.153 $\pm$ 0.041,2.393 $\pm$ 0.045,2.990 $\pm$ 0.057,31 $\pm$ 0.192,1.214 $\pm$ 0.438,1
31022,1,60899.13586,60899.15851,1957,0.026 $\pm$ 0.004,0.044 $\pm$ 0.013,3.335 $\pm$ 0.081,1.704 $\pm$ 0.041,2.129 $\pm$ 0.052,51 $\pm$ 0.184,0.700 $\pm$ 0.199,1
