obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,Shape,hardness_ratio,hardness_ratio_err,median_rate,median_rate_err,snr
14427,14427_SGRA_TABLE_RESULTS.txt,2,56054.472124744,56054.4975012336,2192.4864,0.0187,0.0029,0.0348,0.0107,3.323,9.3086,1.5156,4.2457,1.894,5.3057,40.9992,1,1.4745762711864400,0.248689836459351,0.01715984353418890,0.0037962188887273300,3.073986984786510
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8784,0.0479,0.0075,0.0571,0.0135,4.1623,9.1969,4.8632,10.7456,6.0774,13.4285,40.9981,1,2.44,0.5794342067914180,0.04965060832614710,0.0043932876607780800,3.6362830823921900
19703,19703_SGRA_TABLE_RESULTS.txt,2,57950.5518844129,57950.5658856855,1209.6864,0.0331,0.0052,0.0488,0.0133,2.9011,7.3689,2.3982,6.0916,2.9969,7.6125,39.9992,1,1.5,0.4841229182759270,0.037465041386753700,0.006121692094676700,6.568725392326530
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.1056,0.0995,0.0157,0.1069,0.0179,4.3314,9.1001,10.7718,22.6312,13.4612,28.2815,39.9975,1,1.3214285714285700,0.3309942835510010,0.10688685511964700,0.0,6.593498452173380
14944,14944_SGRA_TABLE_RESULTS.txt,1,56555.4567037892,56555.4854216868,2481.2352,0.016,0.0029,0.0319,0.0116,2.8134,8.5723,1.1339,3.4548,1.417,4.3174,39.7628,1,1.318181818181820,0.3726919959117440,0.017285152114493000,0.002805020441147590,3.156184021413240
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2491718816,57066.2592286646,868.9248,0.045,0.0073,0.0585,0.0147,2.9763,7.3762,3.4253,8.4888,4.2805,10.6082,39.0701,1,2.3333333333333300,0.8050764858994130,0.05449181102774950,0.01126414871866160,8.269634293273100
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0523,0.0088,0.0582,0.0135,3.4886,8.5525,5.214,12.7825,6.5158,15.9739,35.0008,1,1.7307692307692300,0.4263589748334480,0.047052466588334800,0.00875730756150601,2.4367224303097200
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1366330265,56147.1509915782,1240.6176,0.0274,0.0047,0.0348,0.0107,3.071,8.3833,2.4754,6.7574,3.0934,8.4445,34.0011,1,2.2,0.5306599664568640,0.029356955271052900,0.003302452787237380,5.661067018197610
26759,26759_SGRA_TABLE_RESULTS.txt,1,60052.4355408632,60052.4594135912,2062.6272,0.0165,0.0028,0.0297,0.0102,1.9867,6.932,0.9632,3.3608,1.2037,4.1998,34.0004,1,0.7,0.2439262183530090,0.018484063283185900,0.0038237565373340700,4.018369155529220
13016,13016_SGRA_TABLE_RESULTS.txt,1,55649.448992503,55649.4726799441,2046.5568,0.0166,0.0028,0.022,0.0083,2.2067,6.8801,1.0782,3.3618,1.3474,4.2012,33.9994,1,1.6153846153846200,0.5700777322844750,0.018212522983343600,0.001492098280207190,1.4816427403379300
